s,l,n,m,metric,q,d_L,d_dec,d_bnd,n_sdp,tau,c,delta,alpha,r,status,runtime_s,solver,solver_status,c_floor,cond_P
2,2,3,3,q,0,2,8,4,6842,0.0001,1.0,1/250,-0.00024052193362301882,0.0002405219325937284,certified,19.444929799064994,mosek,optimal,,
0,3,3,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.00014897802236705457,0.00014897801084559918,certified,18.600056398659945,mosek,optimal,,
1,3,3,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-9.159562294272314e-05,9.159562309631485e-05,certified,20.377856699749827,mosek,optimal,,
2,3,3,3,q,0,2,12,2,23866,0.0001,1.0,1/250,-5.503702910061588e-05,5.503702918170676e-05,certified,64.92866859957576,mosek,optimal,,
0,1,4,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.002156386942282162,0.0021563869426617656,certified,19.84207160025835,mosek,optimal,,
1,1,4,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.0009876124565591745,0.0009876124574807405,certified,24.436517000198364,mosek,optimal,,
2,1,4,3,q,0,2,12,2,23866,0.0001,1.0,1/250,-0.0004982384150728077,0.0004982384150387206,certified,56.67997029982507,mosek,optimal,,
0,2,4,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.00024414097402429325,0.00024414097356567177,certified,18.938748000189662,mosek,optimal,,
1,2,4,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-0.00013721812305330573,0.00013721813108905456,certified,25.41839849948883,mosek,optimal,,
2,2,4,3,q,0,2,12,2,23866,0.0001,1.0,1/250,-7.776599618183411e-05,7.776599505125487e-05,certified,55.88773440010846,mosek,optimal,,
0,3,4,3,q,0,4,8,4,6857,0.0001,1.0,1/250,-3.0037823443499877e-05,3.0037823627511764e-05,certified,23.94450549967587,mosek,optimal,,
1,3,4,3,q,0,2,10,2,11604,0.0001,1.0,1/250,-1.860425284299711e-05,1.8604251787081493e-05,certified,24.07717639952898,mosek,optimal,,
2,3,4,3,q,0,2,8,2,5282,0.0001,1.0,1/250,-1.134694827171353e-05,1.1346947509020823e-05,certified,10.462637200951576,mosek,optimal,,
0,1,2,4,q,0,2,8,2,24186,0.0001,1.0,1/250,-0.00312535656834811,0.003125356568642705,certified,91.29897079989314,mosek,optimal,,
1,1,2,4,q,0,2,10,4,74475,0.0001,1.0,1/250,-0.0008560993165142301,0.0008560993164616946,certified,489.0002089012414,mosek,optimal,,
2,1,2,4,q,0,2,8,4,30211,0.0001,1.0,1/250,-0.00035241142592355224,0.0003524114250454145,certified,154.82077109999955,mosek,optimal,,
0,2,2,4,q,0,2,8,4,30211,0.0001,1.0,1/250,-0.0006870021379862045,0.0006870021371672819,certified,145.32626900076866,mosek,optimal,,
1,2,2,4,q,0,2,8,4,30211,0.0001,1.0,1/250,-0.00023803710937499856,0.000238037109375,certified,152.64941249974072,mosek,optimal,,
2,2,4,4,q,0,2,10,2,68450,0.0001,1.0,1/250,-3.280676425503162e-06,3.2806748566891867e-06,certified,453.7307031992823,mosek,optimal,,
0,3,2,4,q,0,4,8,4,30237,0.0001,1.0,1/250,-0.00011684162228603076,0.00011684162060484627,certified,167.09724779985845,mosek,optimal,,
1,3,2,4,q,0,4,10,4,74501,0.0001,1.0,1/250,-4.705193417367637e-05,4.705193488012213e-05,certified,598.8585429005325,mosek,optimal,,
2,3,2,4,q,0,2,10,2,68450,0.0001,1.0,1/250,-2.0731009632379233e-05,2.0731009962977873e-05,certified,498.5501055996865,mosek,optimal,,
0,1,3,4,q,0,2,6,4,13995,0.0001,1.0,1/250,-0.0013535263913179766,0.0013535263924973069,certified,60.557698799297214,mosek,optimal,,
1,1,3,4,q,0,2,8,4,30211,0.0001,1.0,1/250,-0.0004157600155503335,0.00041576001608810496,certified,158.40350310131907,mosek,optimal,,
2,1,3,4,q,0,2,8,2,24186,0.0001,1.0,1/250,-0.00015782990746131677,0.00015782990739501737,certified,88.6443243008107,mosek,optimal,,
0,2,3,4,q,0,2,8,6,53186,0.0001,1.0,1/250,-0.00011330978442736438,0.00011330978896302491,certified,377.44511429965496,mosek,optimal,,
1,2,3,4,q,0,2,8,4,30211,0.0001,1.0,1/250,-4.380205178142107e-05,4.3802059511719085e-05,certified,163.0627740006894,mosek,optimal,,
2,2,3,4,q,0,2,10,4,74475,0.0001,1.0,1/250,-1.8020396938920416e-05,1.8020399091771885e-05,certified,634.9376210011542,mosek,optimal,,
0,3,3,4,q,0,2,8,4,30211,0.0001,1.0,1/250,-8.864385662333822e-06,8.864383792360673e-06,certified,156.9477987997234,mosek,optimal,,
1,3,3,4,q,0,2,8,2,24186,0.0001,1.0,1/250,-3.904671013228162e-06,3.904671353573848e-06,certified,108.83290399983525,mosek,optimal,,
2,3,3,4,q,0,2,8,2,24186,0.0001,1.0,1/250,-1.7433723081550293e-06,1.7433721349858176e-06,certified,104.50373870134354,mosek,optimal,,
1,1,4,4,q,0,2,12,4,181800,0.0001,1.0,1/250,-0.00017516203139969746,0.00017516202487300754,certified,2303.286724600941,mosek,optimal,,
2,1,4,4,q,0,2,8,2,24186,0.0001,1.0,1/250,-6.637357167660701e-05,6.637357296818118e-05,certified,111.32596600055695,mosek,optimal,,
0,2,4,4,q,0,2,8,2,24186,0.0001,1.0,1/250,-1.880438120330793e-05,1.8804379916170075e-05,certified,98.35152260027826,mosek,optimal,,
1,2,4,4,q,0,2,8,2,24186,0.0001,1.0,1/250,-7.748770291298512e-06,7.748769398559891e-06,certified,82.91620540060103,mosek,optimal,,
2,2,4,4,q,0,2,10,2,68450,0.0001,1.0,1/250,-3.280676425503162e-06,3.2806748566891867e-06,certified,455.03949449956417,mosek,optimal,,
0,3,4,4,q,0,2,8,2,24186,0.0001,1.0,1/250,-7.272557417320314e-07,1e-06,certified,89.06362989917397,mosek,optimal,,
1,3,4,4,q,0,2,8,2,24186,0.0001,1.0,1/250,-3.327915828394318e-07,0.0,certified,96.71464070118964,mosek,optimal,,
2,3,4,4,q,0,2,8,2,24186,0.0001,1.0,1/250,-1.5167109732520437e-07,0.0,certified,100.57617339864373,mosek,optimal,,
2,2,2,4,q,0,2,8,4,30211,0.0001,1.0,1/250,-9.78718138514603e-05,9.787181502528104e-05,certified,305.8462070003152,mosek,optimal,,
0,1,2,5,q,0,2,8,2,90393,0.0001,1.0,1/250,-0.0017467023416204487,0.0017467023375442874,certified,1212.3013391010463,mosek,optimal,,
0,1,2,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-0.0034934046832408973,0.00349340468379682,certified,1176.6619188003242,mosek,optimal,,
0,1,2,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-0.006986809366481795,0.00698680936759364,certified,1212.0757666006684,mosek,optimal,,
0,1,2,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.033663127127232656,0.033663127127335775,certified,6.094903698191047,mosek,optimal,,
1,1,2,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.006105471902092177,0.006105471901048669,certified,9.074184799566865,mosek,optimal,,
2,1,2,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.002609910518874275,0.00260991051899902,certified,7.098961800336838,mosek,optimal,,
0,2,2,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.006076221403142323,0.006076221403616049,certified,9.611342100426555,mosek,optimal,,
1,2,2,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.0023776863283035874,0.002377686328303612,certified,8.853372199460864,mosek,optimal,,
2,2,2,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.0011479413083277212,0.0011479413088916254,certified,8.532986901700497,mosek,optimal,,
0,3,2,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.0013466581126607114,0.0013466580903344668,certified,8.567470099776983,mosek,optimal,,
1,3,2,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.0007236150014449491,0.0007236150021249995,certified,6.0097287986427546,mosek,optimal,,
2,3,2,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.0003983868642514755,0.0003983868640865492,certified,7.668720601126552,mosek,optimal,,
0,1,3,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.00948930778599907,0.009489307782906966,certified,7.2510053999722,mosek,optimal,,
1,1,3,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.003130314867754422,0.0031303148701447943,certified,10.74151779897511,mosek,optimal,,
2,1,3,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.0013855056705188928,0.0013855056700804113,certified,14.708513099700212,mosek,optimal,,
0,2,3,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.001267039028018011,0.0012670390239363255,certified,8.456512700766325,mosek,optimal,,
1,2,3,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.0006279727318404182,0.0006279727330513118,certified,6.4658761993050575,mosek,optimal,,
2,2,3,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.00032737707632025264,0.00032737707491924144,certified,8.425569901242852,mosek,optimal,,
0,3,3,3,q,2,2,8,0,4850,0.0001,1.0,1/250,-0.00020277564155510525,0.00020277564068156472,certified,18.816067900508642,mosek,optimal,,
1,3,3,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.00011963509935380132,0.0001196351129056378,certified,7.298907300457358,mosek,optimal,,
2,3,3,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-6.965623995549078e-05,6.965623962839079e-05,certified,7.316538400948048,mosek,optimal,,
0,1,2,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-0.01250142627339244,0.01250142627457082,certified,37.184685699641705,mosek,optimal,,
0,1,2,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.0964725650655629,0.09647256506654739,certified,1.364419100806117,mosek,optimal,,
1,1,2,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.030104805913867994,0.03010480591477441,certified,1.4033166002482176,mosek,optimal,,
2,1,2,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.017022241993065373,0.017022241994459442,certified,0.9697374999523163,mosek,optimal,,
0,2,2,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.05217476471318727,0.05217476471353882,certified,0.752836100757122,mosek,optimal,,
1,2,2,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.027083333333333348,0.027083333333333334,certified,0.806793998926878,mosek,optimal,,
1,1,2,5,q,2,2,6,0,20556,0.0001,1.0,1/250,-0.0007894765915172437,0.0007894765928084998,certified,85.57516969999995,mosek,optimal,,
2,1,2,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-0.00020529702438305448,0.0002052970233732462,certified,572.7110748,mosek,optimal,,
0,2,2,5,q,2,2,10,0,316446,0.0001,1.0,1/250,-0.0004866783610314082,0.0004866783611224315,certified,4985.670426199999,mosek,optimal,,
1,2,2,5,q,2,2,6,0,20556,0.0001,1.0,1/250,-0.00011093333333334068,0.00011093333333333334,certified,127.13811960000021,mosek,optimal,,
2,2,2,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-3.207462403378552e-05,3.2074624443882614e-05,certified,950.6634967999998,mosek,optimal,,
0,3,2,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-4.037439312159668e-05,4.03743935063932e-05,certified,876.2431869000011,mosek,optimal,,
1,3,2,5,q,2,2,6,0,20556,0.0001,1.0,1/250,-1.2290494158918244e-05,1.2290493180619858e-05,certified,99.32974689999901,mosek,optimal,,
2,3,2,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-4.007468526496948e-06,4.007469923938221e-06,certified,899.7288176000002,mosek,optimal,,
0,1,3,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-0.0012360380503916668,0.0012360380458539969,certified,963.8093893999994,mosek,optimal,,
1,1,3,5,q,2,2,6,0,20556,0.0001,1.0,1/250,-0.00024244570279313162,0.00024244570373135004,certified,103.7776485000013,mosek,optimal,,
2,1,3,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-6.464688051581872e-05,6.464687924886483e-05,certified,971.2125756000005,mosek,optimal,,
0,2,3,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-3.650450084972283e-05,3.650450079021508e-05,certified,998.9654780000001,mosek,optimal,,
1,2,3,5,q,2,2,6,0,20556,0.0001,1.0,1/250,-1.0575965944286891e-05,1.0575967172197898e-05,certified,104.62484240000049,mosek,optimal,,
2,2,3,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-3.292589322295461e-06,3.292589369106951e-06,certified,996.1105352999984,mosek,optimal,,
0,3,3,5,q,2,2,10,0,316446,0.0001,1.0,1/250,-1.2739231357716002e-06,1.273922675441446e-06,certified,6343.3137513,mosek,optimal,,
1,3,3,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-4.3745268098400593e-07,0.0,certified,1048.4180720000004,mosek,optimal,,
2,3,3,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-1.516264727247183e-07,0.0,certified,1029.1473074999994,mosek,optimal,,
0,1,4,5,q,2,2,6,0,20556,0.0001,1.0,1/250,-0.00030137427528120135,0.00030137426665595115,certified,100.20827089999875,mosek,optimal,,
1,1,4,5,q,2,2,6,0,20556,0.0001,1.0,1/250,-7.179088859603661e-05,7.179088844166696e-05,certified,99.01908919999914,mosek,optimal,,
2,1,4,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-2.0046640021112718e-05,2.004664185337886e-05,certified,1007.4799660000026,mosek,optimal,,
0,2,4,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-3.4130290959273037e-06,3.4130275260669976e-06,certified,978.9256934000005,mosek,optimal,,
1,2,4,5,q,2,2,6,0,20556,0.0001,1.0,1/250,-1.0863188489501423e-06,1.0863188997762184e-06,certified,118.87703369999872,mosek,optimal,,
2,2,4,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-3.56688244490226e-07,0.0,certified,1003.2093793000022,mosek,optimal,,
0,3,4,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-4.9200430591539265e-08,0.0,certified,1020.0287886000006,mosek,optimal,,
1,3,4,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-1.7703697658354595e-08,0.0,certified,988.5659559999986,mosek,optimal,,
2,3,4,5,q,2,2,8,0,87813,0.0001,1.0,1/250,-6.350750317171867e-09,0.0,certified,1054.6779800999975,mosek,optimal,,
1,1,2,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-0.0005263177276781648,0.0005263177266018646,certified,1140.2706386999998,mosek,optimal,,
2,1,2,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-0.00015397276828728928,0.00015397276850627982,certified,1164.0307386999993,mosek,optimal,,
0,2,2,5,q,1,2,6,2,23136,0.0001,1.0,1/250,-0.0003244522406876096,0.0003244522482632262,certified,143.52950810000038,mosek,optimal,,
1,2,2,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-8.319999999999853e-05,8.32e-05,certified,1135.3809597,mosek,optimal,,
2,2,2,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-2.5659699227022528e-05,2.5659698632949008e-05,certified,1148.492070100001,mosek,optimal,,
0,3,2,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-3.0280794841200096e-05,3.0280793800915894e-05,certified,1091.3718460999953,mosek,optimal,,
1,3,2,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-9.832395327130142e-06,9.832394544495887e-06,certified,1103.7192422000007,mosek,optimal,,
2,3,2,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-3.3395571054243477e-06,3.3395560394201195e-06,certified,1102.0791163999966,mosek,optimal,,
0,1,3,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-0.0008240253669277743,0.000824025369007908,certified,1079.470390800001,mosek,optimal,,
1,1,3,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-0.0001818342770948471,0.00018183427719678535,certified,1076.4872978999992,mosek,optimal,,
2,1,3,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-5.1717504412653925e-05,5.171750605256438e-05,certified,919.3559518999973,mosek,optimal,,
0,2,3,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-2.9203600679779647e-05,2.9203600632172062e-05,certified,929.4660365000018,mosek,optimal,,
1,2,3,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-8.813304953572779e-06,8.813305976831581e-06,certified,925.2870696999962,mosek,optimal,,
2,2,3,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-2.822219419107943e-06,2.822219901730303e-06,certified,921.7793368999992,mosek,optimal,,
0,3,3,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-1.0919341163777072e-06,1.0919343179669056e-06,certified,1021.6159183999989,mosek,optimal,,
1,3,3,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-3.8277109585664215e-07,0.0,certified,940.6945975999988,mosek,optimal,,
2,3,3,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-1.3477908687041073e-07,0.0,certified,903.2555044999972,mosek,optimal,,
0,1,4,5,q,1,2,6,2,23136,0.0001,1.0,1/250,-0.00022603070646090142,0.00022603070575506304,certified,121.33005969999795,mosek,optimal,,
1,1,4,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-5.7432710876830235e-05,5.7432711834814334e-05,certified,878.7622443,mosek,optimal,,
2,1,4,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-1.670553335092745e-05,1.6705534877815718e-05,certified,921.8589369999972,mosek,optimal,,
0,2,4,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-2.9254535107889687e-06,2.9254521652002837e-06,certified,936.6994120999952,mosek,optimal,,
1,2,4,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-9.505289928264737e-07,1e-06,certified,942.3949127999949,mosek,optimal,,
2,2,4,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-3.170562173324729e-07,0.0,certified,994.7518320000017,mosek,optimal,,
0,3,4,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-4.4280387535657956e-08,0.0,certified,1052.3495431000047,mosek,optimal,,
1,3,4,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-1.6094270594742584e-08,0.0,certified,1165.6105968999982,mosek,optimal,,
2,3,4,5,q,1,2,8,2,90393,0.0001,1.0,1/250,-5.821521125283884e-09,0.0,certified,1129.2942964999966,mosek,optimal,,
1,1,2,5,q,0,2,10,2,319026,0.0001,1.0,1/250,-0.00035087848511877403,0.000350878484401243,certified,6512.0879990999965,mosek,optimal,,
2,1,2,5,q,0,2,10,2,319026,0.0001,1.0,1/250,-0.00011547957621546823,0.00011547957512754719,certified,5827.018819300007,mosek,optimal,,
