s,l,n,m,q,d_L,d_dec,d_bnd,n_sdp,c,delta,eps_R,eps_M,rho,alpha,mu,w1,mu_z2,status,runtime_s,solver,solver_status,decrease_rate,max_den,q_max_den,mosek_tol,attempt_count,max_d_L_tested,exhausted_to_max_d_L,sweep_note,min_projected_lambda_float,max_gram_basis_size,rough_min_max_den_for_screen,verified,lyapunov_function
0,2,4,2,2,2,4,2,136,1.0,1/250,0.0013864586396687033,1e-06,0.8531428571428571,-0.015255241096507943,1e-06,1.0,1e-06,certified,1.2674097999697551,mosek,optimal,L,100000000,1000000000000,1e-10,4,,,,,,,True,9861544000000*x1**2/8561997884851 - 8990311750000*x1*x2/15389267363089 - 87115502467675500000*x1/59111699479093794811 + 217028760375000*x2**2/219267187881107 - 1810591561891959000000*x2/1513812113710835364827 + 6653161255927950650137500000/5814702196162576009001624873
0,3,2,2,2,2,4,2,136,1.0,1/250,0.0026305560282519885,1e-06,0.746,-0.032222798486646886,1e-06,1.0,1e-06,certified,1.3073164999950677,mosek,optimal,L,100000000,1000000000000,1e-10,4,,,,,,,True,1136791812500*x1**2/648987672463 + 326689600000*x1*x2/1432357680833 - 18698128129685868750*x1/6681442958824610951 + 4086353850000*x2**2/2707048396319 - 67871931112881375000*x2/27869542387670253463 + 1020615231542143665974709375/520006309160075539221690244
0,3,3,2,2,2,4,2,136,1.0,1/250,0.0009515291320710874,1e-06,0.8531428571428571,-0.016074367090180175,1e-06,1.0,1e-06,certified,1.604980600066483,mosek,optimal,L,100000000,1000000000000,1e-10,4,,,,,,,True,27396052359375*x1**2/25241240423779 - 1807078437500*x1*x2/2458277712013 - 34254701131220812500*x1/27836973865239161023 + 30980477390625*x2**2/34206009630538 - 17400942551387156250*x2/18861826521456818153 + 1379619325909120340012343750/1495109029194925166072504741
0,3,4,2,2,2,4,2,136,1.0,1/250,0.00016617527986812015,1e-06,0.896,-0.009466674123097873,1e-06,1.0,1e-06,certified,1.3468942999606952,mosek,optimal,L,100000000,1000000000000,1e-10,4,,,,,,,True,1158674703125*x1**2/973381434368 - 6287359375*x1*x2/26698892248 - 127998971659310821875*x1/66296443960191112192 + 1500840925*x2**2/1508829952 - 162218167649860635*x2/102765531400517888 + 50370846855086673053715321/31897340675454670191161344
1,1,2,2,2,2,6,2,293,1.0,1/250,5.694441374417218e-07,1e-06,0.6626666666666666,-0.030104805913867994,1e-06,1.0,1e-06,certified,3.1138725999044254,mosek,optimal,L,100000000,1000000000000,1e-10,5,,,,,,,True,21116024718750*x1**2/12295597452397 + 14344600500000*x1*x2/12929908660109 - 1949812827655498125000*x1/643624126979025574697 + 187690012500*x2**2/108640874573 - 121140729443321450000*x2/39808331254661726911 + 12033177901517149297352225000/5944729338109072139520164889
1,1,3,2,2,2,6,2,293,1.0,1/250,7.984508259599305e-07,1e-06,0.746,-0.022852107569267005,1e-06,1.0,1e-06,certified,3.127353399991989,mosek,optimal,L,100000000,1000000000000,1e-10,5,,,,,,,True,14911287000*x1**2/14333208709 + 7048870500000*x1*x2/5791296241859 - 1475668046029090500*x1/596625130132556039 + 4955013875000*x2**2/3790135105133 - 23863146507788437500*x2/8303462099541322597 + 1715322365406975031518375/855430968956846595265537
1,1,4,2,2,2,6,2,293,1.0,1/250,9.195439685196075e-07,1e-06,0.796,-0.016989177352640605,1e-06,1.0,1e-06,certified,3.1690048000309616,mosek,optimal,L,100000000,1000000000000,1e-10,5,,,,,,,True,144668420000*x1**2/115660383443 + 2112113625000*x1*x2/3648603642529 - 26261222092058588000*x1/10656268688326826147 + 5139013375000*x2**2/3886168615893 - 923380228190914300000*x2/358048760572437112197 + 2109583579863134596619033600/1045732606224564444678382671
1,2,2,2,2,2,6,2,293,1.0,1/250,2.5249911590370803e-06,1e-06,0.746,-0.027083333333333348,1e-06,1.0,1e-06,certified,2.987230300088413,mosek,optimal,L,100000000,1000000000000,1e-10,5,,,,,,,True,668524700000*x1**2/372081449827 + 2192500000*x1*x2/5025148734141 - 12074563693537525000*x1/4479690614694509061 + 14035138500000*x2**2/7811984690251 - 253495757013222625000*x2/94052725593618595293 + 169489624296380059375731250/83843709792242202454524453
1,2,3,2,2,2,6,2,293,1.0,1/250,3.6822012414673043e-07,1e-06,0.8293333333333334,-0.0166523366405959,1e-06,1.0,1e-06,certified,2.892194499960169,mosek,optimal,L,100000000,1000000000000,1e-10,5,,,,,,,True,85454088750*x1**2/61168584983 - 406285453125*x1*x2/1370561524018 - 3608114507271871875*x1/1733549261408071228 + 10088243015625*x2**2/9447665109644 - 51295880557378359375*x2/33468963025313442038 + 254985253870959344825828125/169332336026862423631984592
1,2,4,2,2,4,6,4,344,1.0,1/250,7.5478627007177766e-06,1e-06,0.871,-0.010828303765606895,1e-06,1.0,1e-06,certified,5.684653099975549,mosek,optimal,L,100000000,1000000000000,1e-10,13,,,,,,,True,32541814000000000000*x1**4/62974281190840089239 - 770128000000000000*x1**3*x2/1100502394626299197 - 42830790815889812907336148000000000*x1**3/101621228873300722714295261169934807 + 1659856563293990000000000000*x1**2*x2**2/1560456897356632875362359259 + 245893339541120213837338383921207158093750000*x1**2*x2/822322572497128276491046028642695039867522171 + 692887544568474415458485042625898666018627595711331708833386259281250*x1**2/2443357336621907536249997457171579129726999092498953143807622045225421 + 5415265000000000000*x1*x2**3/47052512456973264189 - 725291899137327191923209522032797193855000000000*x1*x2**2/297211111701237741154018550456633798155124317107 + 591323643328405832285517747391906747663726363869460163411011007913363437500*x1*x2/273042023014825829982722434422930052494053484769332988945260034309305510339 - 4973361806161404085049512205598171455192305439436157962278369794644752188302066034002800030058921875*x1/3330544720863717955429432645232109728605744881044043065777296021335958041752300152724350309973120418 + 26829551000000000000*x2**4/33599349326498846969 - 74582610831217895979577832500000000*x2**3/20928189786379105816906400523819519 + 104428101673229339826459580041403541304726063653608034111671641172500000*x2**2/13989390699421116676374239359544425216441765568676752580278285854067161 - 626144926428553822522620687886322452542994594077280058726502027607721712590521091249417901015625*x2/94977380786683100221782298893125526313728798281390127061700391547923808730591721177129957697548 + 904422068359898379733188209851126385436631612461801812296176981696129168409274107450008616973772833192136454306760265625/356469686565285056178068844260118942999961490418036190116159875011144353768173436283766040194533556899139227871706895008
1,3,2,2,2,2,6,2,293,1.0,1/250,2.794245015791874e-06,1e-06,0.796,-0.020592647819472676,1e-06,1.0,1e-06,certified,3.3489820999093354,mosek,optimal,L,100000000,1000000000000,1e-10,5,,,,,,,True,1647550375000*x1**2/1044846208739 - 6236870000*x1*x2/143158288217 - 9397831628467056000*x1/3777136806977033563 + 420142125000*x2**2/338625339329 - 2387448652824016000*x2/1224136358305103593 + 57340578244071328072179200/32298028659747318627830027
